tran_TransformerTime_hf_sample_L2_wt_1e-4_focal1.00
===================================================

Run 1:
  Epoch  0: Train=0.4309, Val=0.3465, Test=0.3052, Dur=1.19s
  Epoch  1: Train=0.3808, Val=0.3401, Test=0.3443, Dur=1.21s
  Epoch  2: Train=0.3180, Val=0.3652, Test=0.2983, Dur=1.11s
  Epoch  3: Train=0.4395, Val=0.4380, Test=0.3516, Dur=1.12s
  Epoch  4: Train=0.3470, Val=0.2877, Test=0.2682, Dur=1.12s
  Epoch  5: Train=0.3401, Val=0.2957, Test=0.2798, Dur=1.11s
  Epoch  6: Train=0.2622, Val=0.3105, Test=0.2579, Dur=1.09s
  Epoch  7: Train=0.3088, Val=0.3190, Test=0.2625, Dur=1.17s
  Epoch  8: Train=0.3055, Val=0.2854, Test=0.2591, Dur=1.11s
  Epoch  9: Train=0.2698, Val=0.2860, Test=0.2517, Dur=1.13s
  Epoch 10: Train=0.2939, Val=0.2898, Test=0.2500, Dur=1.11s
  Epoch 11: Train=0.2644, Val=0.3112, Test=0.2588, Dur=1.11s
  Epoch 12: Train=0.2641, Val=0.2954, Test=0.2545, Dur=1.12s
  Epoch 13: Train=0.2524, Val=0.3041, Test=0.2792, Dur=1.12s
  Epoch 14: Train=0.2559, Val=0.2947, Test=0.2566, Dur=1.12s
  Epoch 15: Train=0.2394, Val=0.2998, Test=0.2518, Dur=1.11s
  Epoch 16: Train=0.2549, Val=0.3021, Test=0.2520, Dur=1.10s
  Epoch 17: Train=0.2347, Val=0.2991, Test=0.2531, Dur=1.13s
  Epoch 18: Train=0.2326, Val=0.3000, Test=0.2603, Dur=1.11s
  Epoch 19: Train=0.2341, Val=0.3000, Test=0.2493, Dur=1.11s
  Epoch 20: Train=0.2349, Val=0.2984, Test=0.2491, Dur=1.12s
  Epoch 21: Train=0.2418, Val=0.3021, Test=0.2516, Dur=1.11s
  Epoch 22: Train=0.2306, Val=0.3052, Test=0.2534, Dur=1.11s
  Epoch 23: Train=0.2278, Val=0.3103, Test=0.2507, Dur=1.12s
  Epoch 24: Train=0.2149, Val=0.3090, Test=0.2615, Dur=1.12s
  Epoch 25: Train=0.2110, Val=0.3067, Test=0.2476, Dur=1.11s
  Epoch 26: Train=0.2105, Val=0.3062, Test=0.2447, Dur=1.16s
  Epoch 27: Train=0.2196, Val=0.3081, Test=0.2426, Dur=1.09s
  Epoch 28: Train=0.2094, Val=0.3103, Test=0.2517, Dur=1.10s
  Epoch 29: Train=0.2003, Val=0.3152, Test=0.2446, Dur=1.11s
  Epoch 30: Train=0.1892, Val=0.3222, Test=0.2492, Dur=1.13s
  Epoch 31: Train=0.1836, Val=0.3319, Test=0.2441, Dur=1.12s

Run 2:
  Epoch  0: Train=0.3698, Val=0.3291, Test=0.2728, Dur=1.10s
  Epoch  1: Train=0.3136, Val=0.3399, Test=0.2752, Dur=1.13s
  Epoch  2: Train=0.2807, Val=0.2989, Test=0.2760, Dur=1.17s
  Epoch  3: Train=0.2954, Val=0.2943, Test=0.2583, Dur=1.10s
  Epoch  4: Train=0.2825, Val=0.2899, Test=0.2500, Dur=1.10s
  Epoch  5: Train=0.3231, Val=0.3125, Test=0.2548, Dur=1.10s
  Epoch  6: Train=0.3066, Val=0.3059, Test=0.2534, Dur=1.18s
  Epoch  7: Train=0.2971, Val=0.2973, Test=0.2577, Dur=1.11s
  Epoch  8: Train=0.2618, Val=0.2999, Test=0.2566, Dur=1.12s
  Epoch  9: Train=0.2684, Val=0.3027, Test=0.2585, Dur=1.10s
  Epoch 10: Train=0.2570, Val=0.3029, Test=0.2627, Dur=1.14s
  Epoch 11: Train=0.2416, Val=0.3036, Test=0.2526, Dur=1.17s
  Epoch 12: Train=0.2322, Val=0.2986, Test=0.2525, Dur=1.13s
  Epoch 13: Train=0.2488, Val=0.2991, Test=0.2496, Dur=1.12s
  Epoch 14: Train=0.2362, Val=0.3012, Test=0.2483, Dur=1.11s
  Epoch 15: Train=0.2285, Val=0.2973, Test=0.2519, Dur=1.11s
  Epoch 16: Train=0.2125, Val=0.2979, Test=0.2428, Dur=1.10s
  Epoch 17: Train=0.2188, Val=0.2940, Test=0.2466, Dur=1.11s
